,Compound,Date,Negative,Neutral,Positive,Source,Text
29,0.6514,03/28/2018,0.787,0.0,0.213,@CBS,Spend your Sunday streaming Second Round games LIVE with a FREE trial of CBS All Access! https://t.co/3P85rXLy4b https://t.co/zbWfirD9Ju
30,0.1867,03/28/2018,0.92,0.0,0.08,@CBS,"RT @instinctcbs: TONIGHT, Dr. Dylan Reinhart rewrites the book on abnormal behavior. Don't miss the premiere of #Instinct at 8/7c! https://…"
31,0.0,03/28/2018,1.0,0.0,0.0,@CBS,"If any duo knows how to rock the stage, it's @FLAGALine. The Vocal Duo Of The Year nominee will perform live at the… https://t.co/FknabB8NQp"
32,0.6166,03/28/2018,0.839,0.0,0.161,@CBS,How is your bracket looking after last night? Stream Second Round games LIVE today with a FREE trial of CBS All Acc… https://t.co/25JlIpgwog
33,0.7096,03/28/2018,0.753,0.0,0.247,@CBS,Where better to spend #StPatricksDay than the place everybody knows your name? It’s just your luck that every singl… https://t.co/Fom5wmdENL
34,0.296,03/28/2018,0.896,0.0,0.104,@CBS,Stars @JakeMcDorman and Nik Dodani will join the cast in the upcoming revival of Murphy Brown coming to CBS.… https://t.co/JCAx29lo0i
35,0.0,03/28/2018,1.0,0.0,0.0,@CBS,"RT @thegoodfight: Go behind the scenes with costume designer @DanLawsonStyle in ""Behind The Style,"" a new weekly video series all about the…"
36,0.6514,03/28/2018,0.822,0.0,0.178,@CBS,The games have just begun! Continue to stream First Round games LIVE today with a FREE trial of CBS All Access:… https://t.co/YTGsJ48zYP
37,0.7088,03/28/2018,0.763,0.0,0.237,@CBS,"RT @TheTalkCBS: You asked, we answered! The fun never ends when the ladies #KeepTalking and answer your fan questions 🗣💬➡️ https://t.co/ie1…"
38,-0.4939,03/28/2018,0.766,0.157,0.077,@CBS,RT @instinctcbs: Dr. Dylan Reinhart is lured back into the field from his life of quiet academia when a certain serial killer makes things…
