City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,WindSpeed,URL
georgetown,sh,-7.93,-14.42,80.09420000000006,100,20,2.67,"http://api.openweathermap.org/data/2.5/weather?q=georgetown,sh&appid=4cc2a844092656dedc2d4db74f22bdb6"
mansa,zm,-11.21,28.88,64.34420000000006,94,24,1.42,"http://api.openweathermap.org/data/2.5/weather?q=mansa,zm&appid=4cc2a844092656dedc2d4db74f22bdb6"
porto nacional,br,-10.7,-48.41,81.71420000000006,80,44,1.77,"http://api.openweathermap.org/data/2.5/weather?q=porto nacional,br&appid=4cc2a844092656dedc2d4db74f22bdb6"
tamandare,br,-8.28,-70.75,87.80000000000001,70,40,1.5,"http://api.openweathermap.org/data/2.5/weather?q=tamandare,br&appid=4cc2a844092656dedc2d4db74f22bdb6"
olinda,br,-22.82,-43.41,85.964,58,20,3.1,"http://api.openweathermap.org/data/2.5/weather?q=olinda,br&appid=4cc2a844092656dedc2d4db74f22bdb6"
pimentel,pe,-6.84,-79.94,78.80000000000001,69,0,7.7,"http://api.openweathermap.org/data/2.5/weather?q=pimentel,pe&appid=4cc2a844092656dedc2d4db74f22bdb6"
placido de castro,br,-10.34,-67.19,89.45420000000007,61,8,1.27,"http://api.openweathermap.org/data/2.5/weather?q=placido de castro,br&appid=4cc2a844092656dedc2d4db74f22bdb6"
palmas,br,-10.18,-48.33,84.4142,71,56,2.77,"http://api.openweathermap.org/data/2.5/weather?q=palmas,br&appid=4cc2a844092656dedc2d4db74f22bdb6"
miracema do tocantins,br,-9.56,-48.4,82.07419999999996,88,12,1.32,"http://api.openweathermap.org/data/2.5/weather?q=miracema do tocantins,br&appid=4cc2a844092656dedc2d4db74f22bdb6"
sechura,pe,-5.56,-80.82,79.73419999999993,65,20,5.32,"http://api.openweathermap.org/data/2.5/weather?q=sechura,pe&appid=4cc2a844092656dedc2d4db74f22bdb6"
boca do acre,br,-8.76,-67.39,82.97419999999994,81,32,1.07,"http://api.openweathermap.org/data/2.5/weather?q=boca do acre,br&appid=4cc2a844092656dedc2d4db74f22bdb6"
luanda,ao,-8.83,13.24,80.59999999999997,83,75,1.5,"http://api.openweathermap.org/data/2.5/weather?q=luanda,ao&appid=4cc2a844092656dedc2d4db74f22bdb6"
